sessionId,sessionStart,sessionEnd,countId,time,count,location,activities
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35879,"2016-03-01 10:18:55",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35880,"2016-03-01 10:18:56",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35881,"2016-03-01 10:18:56",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35882,"2016-03-01 10:18:57",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35883,"2016-03-01 10:18:58",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35884,"2016-03-01 10:18:58",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35885,"2016-03-01 10:18:59",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35886,"2016-03-01 10:18:59",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35887,"2016-03-01 10:19:00",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35888,"2016-03-01 10:19:01",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35889,"2016-03-01 10:19:01",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35890,"2016-03-01 10:19:02",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35891,"2016-03-01 10:19:03",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35892,"2016-03-01 10:19:05",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35893,"2016-03-01 10:19:06",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35894,"2016-03-01 10:19:12",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35895,"2016-03-01 10:19:13",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35896,"2016-03-01 10:19:20",1,"CommunityRoom (28)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35897,"2016-03-01 10:19:21",1,"CommunityRoom (28)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35898,"2016-03-01 10:19:22",1,"CommunityRoom (28)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35899,"2016-03-01 10:19:35",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35900,"2016-03-01 10:19:36",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35901,"2016-03-01 10:19:36",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35902,"2016-03-01 10:19:37",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35903,"2016-03-01 10:19:37",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35904,"2016-03-01 10:19:42",1,"Classroom (27)","[78]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35905,"2016-03-01 10:19:43",1,"Classroom (27)","[78]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35906,"2016-03-01 10:19:44",1,"Classroom (27)","[78]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35907,"2016-03-01 10:19:45",1,"Classroom (27)","[78]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35908,"2016-03-01 10:19:47",1,"Classroom (27)","[78]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35909,"2016-03-01 10:19:48",1,"Classroom (27)","[78]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35910,"2016-03-01 10:19:51",1,"Classroom (27)","[78]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35911,"2016-03-01 10:19:53",1,"Classroom (27)","[78]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35912,"2016-03-01 10:19:54",1,"Classroom (27)","[78]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35913,"2016-03-01 10:19:54",1,"Classroom (27)","[78]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35914,"2016-03-01 10:19:55",1,"Classroom (27)","[78]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35915,"2016-03-01 10:19:56",1,"Classroom (27)","[78]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35916,"2016-03-01 10:19:57",1,"Classroom (27)","[78]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35917,"2016-03-01 10:19:59",1,"Classroom (27)","[78]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35918,"2016-03-01 10:20:00",1,"Classroom (27)","[78]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35919,"2016-03-01 10:20:04",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35920,"2016-03-01 10:20:06",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35921,"2016-03-01 10:20:07",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35922,"2016-03-01 10:20:09",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35923,"2016-03-01 10:20:10",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35924,"2016-03-01 10:20:11",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35925,"2016-03-01 10:20:12",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35926,"2016-03-01 10:20:13",1,"Public/StudyRooms (26)","[78]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35927,"2016-03-01 10:20:14",1,"Public/StudyRooms (26)","[78]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35928,"2016-03-01 10:20:16",1,"Public/StudyRooms (26)","[78]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35929,"2016-03-01 10:20:17",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35930,"2016-03-01 10:20:19",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35931,"2016-03-01 10:20:20",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35932,"2016-03-01 10:20:21",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35933,"2016-03-01 10:20:22",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35934,"2016-03-01 10:20:23",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35935,"2016-03-01 10:20:25",1,"Public/StudyRooms (26)","[79]"
